experiment,seed,evaluations,best_nrmse
BARENTS,15,1016,0.017643660154781523
BARENTS,16,8,1.5875297089991134
BARENTS,16,16,1.1459315969214618
BARENTS,16,24,1.1459315969214618
BARENTS,16,32,1.0677669015636222
BARENTS,16,40,1.0677669015636222
BARENTS,16,48,0.6610538522492148
BARENTS,16,56,0.5092525931536154
BARENTS,16,64,0.5092525931536154
BARENTS,16,72,0.5092525931536154
BARENTS,16,80,0.5092525931536154
BARENTS,16,88,0.5092525931536154
BARENTS,16,96,0.5092525931536154
BARENTS,16,104,0.5092525931536154
BARENTS,16,112,0.5092525931536154
BARENTS,16,120,0.5092525931536154
BARENTS,16,128,0.5092525931536154
BARENTS,16,136,0.5092525931536154
BARENTS,16,144,0.5092525931536154
BARENTS,16,152,0.5092525931536154
BARENTS,16,160,0.5092525931536154
BARENTS,16,168,0.5092525931536154
BARENTS,16,176,0.5092525931536154
BARENTS,16,184,0.5092525931536154
BARENTS,16,192,0.5092525931536154
BARENTS,16,200,0.5092525931536154
BARENTS,16,208,0.4323152133494514
BARENTS,16,216,0.23230310671791268
BARENTS,16,224,0.23230310671791268
BARENTS,16,232,0.23230310671791268
BARENTS,16,248,0.23230310671791268
BARENTS,16,256,0.23230310671791268
BARENTS,16,272,0.23230310671791268
BARENTS,16,280,0.23230310671791268
BARENTS,16,296,0.23230310671791268
BARENTS,16,304,0.23230310671791268
BARENTS,16,320,0.23230310671791268
BARENTS,16,336,0.23230310671791268
BARENTS,16,352,0.23230310671791268
BARENTS,16,368,0.23230310671791268
BARENTS,16,384,0.23230310671791268
BARENTS,16,400,0.23230310671791268
BARENTS,16,416,0.23230310671791268
BARENTS,16,440,0.17684656102405427
BARENTS,16,456,0.17684656102405427
BARENTS,16,480,0.12723111616022814
BARENTS,16,504,0.12244351220338633
BARENTS,16,520,0.05976894304049414
BARENTS,16,544,0.041724160295157034
BARENTS,16,576,0.041724160295157034
BARENTS,16,600,0.02918171136364742
BARENTS,16,624,0.02918171136364742
BARENTS,16,656,0.02023774777896622
BARENTS,16,680,0.02023774777896622
BARENTS,16,712,0.019477010166802443
BARENTS,16,744,0.017379300368849673
BARENTS,16,784,0.016537853552035842
BARENTS,16,816,0.013356175009095982
BARENTS,16,856,0.013356175009095982
BARENTS,16,896,0.012583870300102728
BARENTS,16,936,0.012227940366476847
BARENTS,16,976,0.009285356185972713
BARENTS,16,1024,0.005653897567547628
BARENTS,16,1064,0.004825005398668515
BARENTS,16,1112,0.003813917530512222
BARENTS,16,1168,0.002371616700769012
BARENTS,16,1216,0.0016683315682821784
BARENTS,16,1272,0.0013389801301231987
BARENTS,16,1336,0.0012229773801493366
BARENTS,16,1392,0.0011135058994444266
BARENTS,16,1456,0.0009332569595812466
BARENTS,16,1520,0.0009070491363468103
BARENTS,16,1592,0.000902902897034022
BARENTS,17,8,1.57252915277521
BARENTS,17,16,1.0453366192070022
BARENTS,17,24,0.8386505414238083
BARENTS,17,32,0.8386505414238083
BARENTS,17,40,0.8386505414238083
BARENTS,17,48,0.8386505414238083
